anchor,response
"29 year old female, first seizure one month ago, lost the ability to speak. Babbled like a baby. Present deterioration of mental status.",See that? They all assume I'm a Patient because of this cane.
So put on a white coat like the rest of us.,I don't want them to think I'm a doctor.
You see where the administration might have a pRoblem with that attitude.,People don't want a sick doctor.
Fair enough. I don't like healthy Patients. The 29 year old female!,"The one who can't talk, I liked that part."
She's my cousin.,"And your cousin doesn't like the diagnosis. I wouldn't either. Brain tumor, she's gonna die, boring."
No wonder you're such a renowned diagnostician. You don't need to actually know anything to figure out what's wrong.,You're the oncologist I'm just a lowly infectious disease guy.
"Hah, yes, just a simple country doctor. Brain tumors at her age are highly unlikely.",She's 29. WhatEver she's got is highly unlikely.
Protein markers for the three most prevalent brain cancers came up negative.,That's an HMO lab you might as well have sent it to a high school kid with a chemistry set.
No family history.,I thought your uncle died of cancer.
Other side. No environmental factors.,That you know of.
And she's not responding to radiation treatment.,None of which is Even close to dispositive. All it does is raise one question. Your cousin goes to an HMO?
It's a lesion.,And the big green thing in the middle of the bigger blue thing on a map is an island. I was hoping for something a bit more creative.
Shouldn't we be speaking to the Patient before we start diagnosing?,Is she a doctor?
"Is she a doctor? No, but!",Everybody lies.
Isn't treating Patients why we became doctors?,"No, treating illnesses is why we became doctors, treating Patients is what makes most doctors miserable."
So you're trying to eliminate the huManity from the practice of medicine.,"If we don't talk to them they can't lie to us, and we can't lie to them. HuManity is overrated. I don't think it's a tumor."
First year of medical school if you hear hoof beats you think horses not zebras.,Are you in first year of medical school?
"Aneurysm, stroke, or some other ischemic syndrome.",Get her a contrast MRI.
Creutzfeld-Jakob disease. Mad cow?,Mad zebra.
Mad zebra. Wernickie's encephalopathy?,"No, blood thiamine lEvel was normal."
"Lab in Trenton could have screwed up the blood test. I assume it's a corollary if people lie, that people screw up.",Re-draw the blood tests. And get her scheduled for that contrast MRI ASAP. Let's find out what kind of zebra we're dealing with here.
I was expecting you in my office 20 minutes ago.,"Really? Well, that's odd, because I had no intention of being in your office 20 minutes ago."
You think we have nothing to talk about?,"No, just that I can't think of anything that I'd be interested in."
I sign your paychecks.,"I have tenure. Are you going to grab my cane now, stop me from leaving?"
I can still fire you if you're not doing your job.,I'm here from 9 to 5.
Your billings are practically nonexistent.,Rough year.
You ignore requests for consults.,I call back. Sometimes I misdial.
You're 6 years behind on your obligation to this clinic.,"See, I was right, this doesn't interest me."
"6 years, times 3 weeks you owe me better than 4 months.",It's 500. I'm going home.
I'm going home. To what?,Nice.
"Look, Dr. House, the only reason that I don't fire you is because your reputation still worth something to this hospital.","Excellent, we have a point of agreement. You aren't going to fire me."
Your reputation won't last up if you don't do your job. The clinic is part of your job. I want you to do your job.,"Well, like the philosopher Jagger once said, You can't always get what you want."
"Dr. Cameron. I'm sorry I have to stop you, there's a pRoblem.",You pulled my authorization.
"Yes, why are you yelling?","No MRIs, no imaging studies, no labs."
You also can't make long distance phone calls.,If you're gonna fire me at least have the guts to face me.
Or photocopies you're still yelling.,I'm ANGRY! You're risking a Patient's life.
I assume those are two separate points.,"You showed me disrespect, you embarrassed me and as long as I'm still work here you have!interrupted"
"Oh, I looked into that philosopher you quoted, Jagger, and you're right, You can't always get what you want, but as it turns out if you try sometimes you get what you need.","So, because you want me to treat Patients, you aren't letting me treat Patients."
I need you to do your job.,"Do the MRI, she folded."
Just get some rest for now.,"Told you, can't trust people."
"She pRobably knew she was allergic to gadolinium, figured it was an easy way to get someone to cut a hole in her throat.","Can't get a picture, gonna have to get a thousand words."
You actually want me to talk to the Patient? Get a history?,We need to know if there's some genetic or environmental causes triggering an inflammatory response.
I thought Everybody lied?,Truth begins in lies. Think about it.
"That doesn't mean anything,does it?","1252 PM Dr. House checks in, please write that down. Do you have cable TV here somewhere? General Hospital starts in 8 minutes."
"No TV, but we've got Patients.",Can't you give out the aspirin yourself? I'll do paperwork.
I made sure your first case was an interesting one.,"Cough just won't go away, runny nose looks a funny color."
Patient admitted complaining of back spasms.,I think I read about something like that in the New England Journal of Medicine.
Patient is orange.,The color?
"No, the fruit.",You mean yellow it's jaundice.
I mean orange.,"Well, how orange?"
What's that? What are you doing?,Painkillers.
"Oh, for you, for your leg.","No, 'cause they're yummy. You want one? It'll make your back feel better."
"No, 'cause they're yummy. You want one? It'll make your back feel better.","Unfortunately, you have a deeper pRoblem. Your wife is having an affair."
Your wife is having an affair. What?!,"You're orange, you moron!"
"You're orange, you moron! It's one thing for you not to notice, but if your wife hasn't picked up on the fact that her husband has changed color, she's just not paying attention. By the way, do you consume just a ridiculous amount of carrots and mega-dose vitamins?","The carrots turn you yellow, the niacin turns you red. Get some finger-paints and do the math. And get a good Lawyer."
"The carrots turn you yellow, the niacin turns you red. Get some finger-paints and do the math. And get a good Lawyer.",Deep breath.
Deep breath. It's cold.,Has he been using his inhaler?
What happened to your leg?,"Your doctor pRobably was concerned about the strength of the medicine, too."
What? The more often this happens!what?,"Forget it. If you don't trust steroids, you shouldn't trust doctors."
You couldn't have knocked?,"Steroids. Give her steroids, high doses of prednisone."
Inflammation of the blood vessels in the brain is awfully rare. Especially for someone her age.,So is a tumor. Her SED rate was elevated.
"That could mean anything, or nothing.","Yeah, I know. I have no reason to think that it's vasculitus except that it could be."
