anchor,response
"Give me a little credit, I know what gets you off. She took the pills to sleep, not to kill herself.",ClEver alibi.
I don't think she's gonna have a pRoblem deciding what to tell Cuddy. Ezra's heart monitor starts beeping. O2 sats 89 and dropping.,Thought you were only supposed to put on a pound a week during your last trimester.
Good guesses! But no.,It's on parts of her body that we haven't touched.
Walks in You could have killed me!,Amphetamines aren't going to kill you. Shuts the door.
"I have nEver heard you ask a Patient that question. You've nEver asked me that question, and you've seen me fall down a flight of stairs drunk. You've slept with her.","She's 9,000 miles away. Elevator opens, they walk out towards the exit. And while a certain part of me unfurled!"
We heard they nEver found the guy. There's no new leads?,What? You think he might have shot this Patient too? Would explain her symptoms!
Have you seen Bride of the Monster? I just got the Ed Wood box set.,What if the Parkcken was the egg? What if the lung involvement came first?
"Of course it's about the money. The money Vogler gave, he could have bought a few jets, maybe a baseball team, or just stuck it in Chase Manhattan and collected interest. But he gave it to us to buy equipment, to do research! You are a great doctor, House, but you are not worth $100 million.",We've sequenced the DNA of the tumor cells. P53 gene mutation at codon 55. She's perfect for your trial.
"Just for the opiates, we find that it helps weed out drug-seekers.",You think I'm a drug-seeker?
If Chase screwed up--,"I was wrong. Terribly, terribly, sorry."
which will kill him if it's a GAD autoimmunity.,"Treat for GAD. Corticosteroids and IV immunoglobulin. Walks away, Park follows him"
"Cameron had this one insufferable friend. She wasn't going to get rid of her and I sure wasn't going to join them, so I just said, see her on Thursday's. I know it's not as exciting as an exploding birthday cake, but, hell, I don't want to hang out with her Every night anyway.",That's amazing. Cameron only has one insufferable friend? Chase bowls another strike. Turns around and House is gone.
I'll see another doctor.,Fine. Fine.
"This guy's been on 50 different medications. Maybe his kidneys should be failing, but something's protecting them.",to Jason I need to slap you.
Flat or sParkling?,Flat.
The test for Addison's was inconclusive.,The test for Addison's is always inconclusive.
You know I was going to ask what a respectable doctor was doing in an OTB parlor. Somehow that question doesn't seem relevant anymore.,What's your excuse?
My dad wouldn't kill himself.,You haven't spoken to him in over 6 years.
bites Good boy.,sighs You did good.
You offering me a job?,I'd settle for that.
"into phone, frustrated I already gave you that number.",Simple surgical procedure turns a little girl into the English Patient. What gives?
Starting to cry. What about us?,We'll always have Fresno.
"Things don't seem small anymore, theyHouse is handing him the PTU pills and a glass of water. I woke up from a nap and, uh, Everything went from really small to really huge.","Well, then, these giant balls of medicine are not gonna work anymore. The change actually makes things simpler. Your occipital lobe is acting up, giving you a migraine."
"We'll start weaning him off, one at a time. Which one do we start with?",I don't care if you do it alphabetically. Just stay on top of his vision first sign of regression means we've taken him off the wrong one. Chase enters.
checking his watch Start counting.,two seconds later How Many?
Opioid induced pain.,"Pain and the drugs that treat pain work by changing brain chemistry, sometimes to the point where pain receptors read painkillers as killer pain. Take him off the drugs."
You're a bit late for that! you ass.,"With you and your wife's consent, we can get an exhumation order. Find out what killed him."
He wasn't scared before.,"Right, you think being afraid of me is a symptom of a serious ailment."
"It's a small, representative piece of whatEver you think is the pRoblem.","You go down the shore, you fill a cup with water. It's got no fish in it. Does that mean no fish in the ocean?"
Which I nEver got. If that wasn't clear.,"He must be lying. he hobbles towards the toilet, Wilson follows You wouldn't want to live with a liar."
And now you think TB's the pRoblem?,"Nah. If TB caused cardiac arrest on a hot day, your work in Africa would be Even more futile than it already is."
"If you're going to purge an entire gender, it isn't going to be the danglers.","Sounds logical. beat If you don't think about it for more than three seconds. But I just told you that if the danglers lose, they're out."
"checks his watch It's almost noon. The little girl would go to lunch. Soon as she's out the door, you're going to get paged. Then you page me.",Lunch is early huh?
You pay me ten dollars for Every one you have to touch.,You're making this into a game for me. From which I can only conclude this isn't a game for you.
Who's coming back?,You don't know her.
"Wait, if you only see one Patient, what do you do the rest of the day? Dr. Hourani?",Just in time for lunch.
Just wanna make sure you weren't misdiagnosed.,I wasn't. Let's move on.
You do not wanna know what came in first. pissed House...,Rhymes with fucParkni.
It's a possibility. I'll run some blood tests. Thank you.,"No, no! It's almost impossible to confirm masto with blood work. Just give him five aspirin. Adams looks very puzzled."
That's their right.,getting up from the couch Two more babies have just become symptomatic. I defer to your legal wisdom which takes precedence? Six dying babies or a missing consent form?
he and House still frozen ...We were gone two minutes.,"still appearing rather shellshocked What have you got there, sweetie? Rachel looks amused. Wilson kneels cautiously in front of her."
There's just wet gum under here. Where's the card?,What card?
"Mom, this is Dr!",Gregory House nice to meet you. to Luke Be all right if we spoke alone for awhile?
I am 37.,You looked 27 last week. Unless I blacked out for ten years. Your skin
"But it... but it would give you more time to make the diagnosis, to get her better.","Well, it may give us an extra day or two, but, no procurement agency is going to let a liver go to a Patient with an undiagnosed pre-existing---"
